date,vintage_date,variable,source,frequency,forecast_horizon,value
31/03/1990,31/12/2003,aweagg,ons,Q,-55,61.3
30/06/1990,31/12/2003,aweagg,ons,Q,-54,63.3
30/09/1990,31/12/2003,aweagg,ons,Q,-53,64.8
31/12/1990,31/12/2003,aweagg,ons,Q,-52,66.2
31/03/1991,31/12/2003,aweagg,ons,Q,-51,66.8
30/06/1991,31/12/2003,aweagg,ons,Q,-50,68.3
30/09/1991,31/12/2003,aweagg,ons,Q,-49,69.6
31/12/1991,31/12/2003,aweagg,ons,Q,-48,70.8
31/03/1992,31/12/2003,aweagg,ons,Q,-47,71.9
30/06/1992,31/12/2003,aweagg,ons,Q,-46,72.5
30/09/1992,31/12/2003,aweagg,ons,Q,-45,73.3
31/12/1992,31/12/2003,aweagg,ons,Q,-44,74.1
31/03/1993,31/12/2003,aweagg,ons,Q,-43,74.2
30/06/1993,31/12/2003,aweagg,ons,Q,-42,74.9
30/09/1993,31/12/2003,aweagg,ons,Q,-41,75.6
31/12/1993,31/12/2003,aweagg,ons,Q,-40,76.3
31/03/1994,31/12/2003,aweagg,ons,Q,-39,76.9
30/06/1994,31/12/2003,aweagg,ons,Q,-38,77.5
30/09/1994,31/12/2003,aweagg,ons,Q,-37,78.4
31/12/1994,31/12/2003,aweagg,ons,Q,-36,79
31/03/1995,31/12/2003,aweagg,ons,Q,-35,79.6
30/06/1995,31/12/2003,aweagg,ons,Q,-34,80.1
30/09/1995,31/12/2003,aweagg,ons,Q,-33,80.5
31/12/1995,31/12/2003,aweagg,ons,Q,-32,81.4
31/03/1996,31/12/2003,aweagg,ons,Q,-31,82
30/06/1996,31/12/2003,aweagg,ons,Q,-30,82.7
30/09/1996,31/12/2003,aweagg,ons,Q,-29,83.7
31/12/1996,31/12/2003,aweagg,ons,Q,-28,84.5
31/03/1997,31/12/2003,aweagg,ons,Q,-27,85.4
30/06/1997,31/12/2003,aweagg,ons,Q,-26,86
30/09/1997,31/12/2003,aweagg,ons,Q,-25,87.3
31/12/1997,31/12/2003,aweagg,ons,Q,-24,88.6
31/03/1998,31/12/2003,aweagg,ons,Q,-23,89.6
30/06/1998,31/12/2003,aweagg,ons,Q,-22,90.9
30/09/1998,31/12/2003,aweagg,ons,Q,-21,91.9
31/12/1998,31/12/2003,aweagg,ons,Q,-20,92.7
31/03/1999,31/12/2003,aweagg,ons,Q,-19,93.6
30/06/1999,31/12/2003,aweagg,ons,Q,-18,95
30/09/1999,31/12/2003,aweagg,ons,Q,-17,96.2
31/12/1999,31/12/2003,aweagg,ons,Q,-16,97.8
31/03/2000,31/12/2003,aweagg,ons,Q,-15,98.8
30/06/2000,31/12/2003,aweagg,ons,Q,-14,98.9
30/09/2000,31/12/2003,aweagg,ons,Q,-13,100.2
31/12/2000,31/12/2003,aweagg,ons,Q,-12,102.2
31/03/2001,31/12/2003,aweagg,ons,Q,-11,103.5
30/06/2001,31/12/2003,aweagg,ons,Q,-10,104.1
30/09/2001,31/12/2003,aweagg,ons,Q,-9,104.7
31/12/2001,31/12/2003,aweagg,ons,Q,-8,105.4
31/03/2002,31/12/2003,aweagg,ons,Q,-7,106.6
30/06/2002,31/12/2003,aweagg,ons,Q,-6,108
30/09/2002,31/12/2003,aweagg,ons,Q,-5,108.6
31/12/2002,31/12/2003,aweagg,ons,Q,-4,109.4
31/03/2003,31/12/2003,aweagg,ons,Q,-3,110.4
30/06/2003,31/12/2003,aweagg,ons,Q,-2,111.2
30/09/2003,31/12/2003,aweagg,ons,Q,-1,112.5
31/03/1990,31/03/2004,aweagg,ons,Q,-56,61.3
30/06/1990,31/03/2004,aweagg,ons,Q,-55,63.3
30/09/1990,31/03/2004,aweagg,ons,Q,-54,64.8
31/12/1990,31/03/2004,aweagg,ons,Q,-53,66.2
31/03/1991,31/03/2004,aweagg,ons,Q,-52,66.8
30/06/1991,31/03/2004,aweagg,ons,Q,-51,68.3
30/09/1991,31/03/2004,aweagg,ons,Q,-50,69.6
31/12/1991,31/03/2004,aweagg,ons,Q,-49,70.8
31/03/1992,31/03/2004,aweagg,ons,Q,-48,71.9
30/06/1992,31/03/2004,aweagg,ons,Q,-47,72.5
30/09/1992,31/03/2004,aweagg,ons,Q,-46,73.3
31/12/1992,31/03/2004,aweagg,ons,Q,-45,74.1
31/03/1993,31/03/2004,aweagg,ons,Q,-44,74.2
30/06/1993,31/03/2004,aweagg,ons,Q,-43,74.9
30/09/1993,31/03/2004,aweagg,ons,Q,-42,75.6
31/12/1993,31/03/2004,aweagg,ons,Q,-41,76.3
31/03/1994,31/03/2004,aweagg,ons,Q,-40,76.9
30/06/1994,31/03/2004,aweagg,ons,Q,-39,77.5
30/09/1994,31/03/2004,aweagg,ons,Q,-38,78.4
31/12/1994,31/03/2004,aweagg,ons,Q,-37,79
31/03/1995,31/03/2004,aweagg,ons,Q,-36,79.6
30/06/1995,31/03/2004,aweagg,ons,Q,-35,80.1
30/09/1995,31/03/2004,aweagg,ons,Q,-34,80.5
31/12/1995,31/03/2004,aweagg,ons,Q,-33,81.4
31/03/1996,31/03/2004,aweagg,ons,Q,-32,82
30/06/1996,31/03/2004,aweagg,ons,Q,-31,82.7
30/09/1996,31/03/2004,aweagg,ons,Q,-30,83.7
31/12/1996,31/03/2004,aweagg,ons,Q,-29,84.5
31/03/1997,31/03/2004,aweagg,ons,Q,-28,85.4
30/06/1997,31/03/2004,aweagg,ons,Q,-27,86
30/09/1997,31/03/2004,aweagg,ons,Q,-26,87.3
31/12/1997,31/03/2004,aweagg,ons,Q,-25,88.6
31/03/1998,31/03/2004,aweagg,ons,Q,-24,89.6
30/06/1998,31/03/2004,aweagg,ons,Q,-23,90.9
30/09/1998,31/03/2004,aweagg,ons,Q,-22,91.9
31/12/1998,31/03/2004,aweagg,ons,Q,-21,92.7
31/03/1999,31/03/2004,aweagg,ons,Q,-20,93.6
30/06/1999,31/03/2004,aweagg,ons,Q,-19,95
30/09/1999,31/03/2004,aweagg,ons,Q,-18,96.2
31/12/1999,31/03/2004,aweagg,ons,Q,-17,97.8
31/03/2000,31/03/2004,aweagg,ons,Q,-16,98.8
30/06/2000,31/03/2004,aweagg,ons,Q,-15,98.9
30/09/2000,31/03/2004,aweagg,ons,Q,-14,100.2
31/12/2000,31/03/2004,aweagg,ons,Q,-13,102.2
31/03/2001,31/03/2004,aweagg,ons,Q,-12,103.5
30/06/2001,31/03/2004,aweagg,ons,Q,-11,104.1
30/09/2001,31/03/2004,aweagg,ons,Q,-10,104.7
31/12/2001,31/03/2004,aweagg,ons,Q,-9,105.4
31/03/2002,31/03/2004,aweagg,ons,Q,-8,106.6
30/06/2002,31/03/2004,aweagg,ons,Q,-7,108
30/09/2002,31/03/2004,aweagg,ons,Q,-6,108.6
31/12/2002,31/03/2004,aweagg,ons,Q,-5,109.4
31/03/2003,31/03/2004,aweagg,ons,Q,-4,110.4
30/06/2003,31/03/2004,aweagg,ons,Q,-3,111.2
30/09/2003,31/03/2004,aweagg,ons,Q,-2,112.5
31/12/2003,31/03/2004,aweagg,ons,Q,-1,113.262
31/03/1990,30/06/2004,aweagg,ons,Q,-57,61.3
30/06/1990,30/06/2004,aweagg,ons,Q,-56,63.3
30/09/1990,30/06/2004,aweagg,ons,Q,-55,64.8
31/12/1990,30/06/2004,aweagg,ons,Q,-54,66.2
31/03/1991,30/06/2004,aweagg,ons,Q,-53,66.8
30/06/1991,30/06/2004,aweagg,ons,Q,-52,68.3
30/09/1991,30/06/2004,aweagg,ons,Q,-51,69.6
31/12/1991,30/06/2004,aweagg,ons,Q,-50,70.8
31/03/1992,30/06/2004,aweagg,ons,Q,-49,71.9
